participant_id,target_trial,history_trials,history_A,history_B,actual_choice,sampled_output,p_B,predicted_choice,correct,log_loss,brier,model,prompt_tokens,completion_tokens,top_logprobs,surface_forms,label_logprob,history_draw
P026,21,0,0,0,B,A,0.7635746573706901,B,1,0.2697443760381654,0.05589694263738659,deepseek-v4-flash,65,1,"[{'token': 'B', 'logprob': -0.2697555}, {'token': 'A', 'logprob': -1.442134}, {'token': 'The', 'logprob': -12.891372}, {'token': ' B', 'logprob': -13.699616}, {'token': 'Let', 'logprob': -13.900451}, {'token': 'Based', 'logprob': -13.920241}, {'token': 'I', 'logprob': -14.743865}, {'token': ' A', 'logprob': -14.81956}, {'token': 'Option', 'logprob': -14.874057}, {'token': 'Both', 'logprob': -14.907153}, {'token': 'After', 'logprob': -14.95876}, {'token': 'Sure', 'logprob': -15.17191}, {'token': 'Since', 'logprob': -15.201825}, {'token': 'We', 'logprob': -15.29215}, {'token': 'From', 'logprob': -15.389026}, {'token': '1', 'logprob': -15.709247}, {'token': '<｜｜end▁of▁sentence｜｜>', 'logprob': -15.743995}, {'token': 'C', 'logprob': -15.791648}, {'token': 'Answer', 'logprob': -15.866942}, {'token': 'To', 'logprob': -16.222853}]","{'A': [-1.442134, -14.81956], 'B': [-0.2697555, -13.699616]}","{'A': -1.4421324502652564, 'B': -0.2697540294311148}",0
P026,22,0,0,0,B,B,0.5006040475916882,B,1,0.6919398145363511,0.24939631728180484,deepseek-v4-flash,91,1,"[{'token': 'B', 'logprob': -0.6919627}, {'token': 'A', 'logprob': -0.6943774}, {'token': 'Let', 'logprob': -12.444778}, {'token': 'The', 'logprob': -12.549332}, {'token': 'Based', 'logprob': -12.993549}, {'token': ' B', 'logprob': -13.258303}, {'token': 'Sure', 'logprob': -13.508236}, {'token': ' A', 'logprob': -13.818792}, {'token': 'To', 'logprob': -13.863672}, {'token': 'After', 'logprob': -14.10672}, {'token': 'Option', 'logprob': -14.26796}, {'token': 'Since', 'logprob': -14.460333}, {'token': '<｜｜end▁of▁sentence｜｜>', 'logprob': -14.6323395}, {'token': 'Both', 'logprob': -14.653137}, {'token': 'I', 'logprob': -14.880775}, {'token': 'We', 'logprob': -14.944126}, {'token': 'From', 'logprob': -14.986906}, {'token': 'Given', 'logprob': -15.331783}, {'token': 'Yes', 'logprob': -15.397085}, {'token': 'Expected', 'logprob': -15.478752}]","{'A': [-0.6943774, -13.818792], 'B': [-0.6919627, -13.258303]}","{'A': -0.6943754041002325, 'B': -0.6919592125580069}",0
P026,23,0,0,0,B,B,0.6400357824167066,B,1,0.4462311941652228,0.12957423794035264,deepseek-v4-flash,53,1,"[{'token': 'B', 'logprob': -0.44623768}, {'token': 'A', 'logprob': -1.0217572}, {'token': 'Let', 'logprob': -13.677177}, {'token': 'The', 'logprob': -13.997311}, {'token': 'Based', 'logprob': -14.147968}, {'token': ' B', 'logprob': -14.695742}, {'token': 'Since', 'logprob': -14.974165}, {'token': 'Option', 'logprob': -15.109898}, {'token': 'Sure', 'logprob': -15.140776}, {'token': 'Both', 'logprob': -15.164488}, {'token': ' A', 'logprob': -15.1741295}, {'token': 'Given', 'logprob': -15.72241}, {'token': 'I', 'logprob': -15.975529}, {'token': 'To', 'logprob': -16.032534}, {'token': 'After', 'logprob': -16.333849}, {'token': 'We', 'logprob': -16.382935}, {'token': '<｜｜end▁of▁sentence｜｜>', 'logprob': -16.434956}, {'token': 'Consider', 'logprob': -16.490519}, {'token': 'If', 'logprob': -16.633512}, {'token': 'From', 'logprob': -16.63383}]","{'A': [-1.0217572, -15.1741295], 'B': [-0.44623768, -14.695742]}","{'A': -1.0217564859927044, 'B': -0.44623703208391285}",0
P026,24,0,0,0,A,B,0.8852999582033336,B,0,2.1654348904469973,0.7837560159948243,deepseek-v4-flash,64,1,"[{'token': 'B', 'logprob': -0.12183904}, {'token': 'A', 'logprob': -2.1654449}, {'token': 'Based', 'logprob': -12.958903}, {'token': 'The', 'logprob': -13.615718}, {'token': 'Let', 'logprob': -13.620305}, {'token': 'To', 'logprob': -14.282739}, {'token': 'I', 'logprob': -14.51398}, {'token': 'We', 'logprob': -14.643222}, {'token': ' B', 'logprob': -15.2288065}, {'token': 'Since', 'logprob': -15.256049}, {'token': 'Both', 'logprob': -15.298053}, {'token': 'Given', 'logprob': -15.504544}, {'token': '<｜｜end▁of▁sentence｜｜>', 'logprob': -15.50884}, {'token': 'Consider', 'logprob': -15.523486}, {'token': 'After', 'logprob': -15.678752}, {'token': 'C', 'logprob': -15.757155}, {'token': 'Option', 'logprob': -15.865825}, {'token': 'From', 'logprob': -15.876611}, {'token': 'In', 'logprob': -15.955575}, {'token': 'Bet', 'logprob': -16.36217}]","{'A': [-2.1654449], 'B': [-0.12183904, -15.2288065]}","{'A': -2.1654449, 'B': -0.12183876513000526}",0
P026,28,0,0,0,A,B,0.7601161262061347,B,0,1.4276003319300066,0.5777765253186204,deepseek-v4-flash,53,1,"[{'token': 'B', 'logprob': -0.27428952}, {'token': 'A', 'logprob': -1.427606}, {'token': 'The', 'logprob': -14.032826}, {'token': 'Based', 'logprob': -14.058873}, {'token': ' B', 'logprob': -14.518416}, {'token': 'Let', 'logprob': -14.727733}, {'token': 'Since', 'logprob': -15.065965}, {'token': ' A', 'logprob': -15.394853}, {'token': 'Both', 'logprob': -15.402642}, {'token': 'I', 'logprob': -15.7256155}, {'token': 'Sure', 'logprob': -15.782945}, {'token': 'Given', 'logprob': -15.895576}, {'token': 'If', 'logprob': -16.274052}, {'token': '8', 'logprob': -16.402529}, {'token': 'Bet', 'logprob': -16.462252}, {'token': 'To', 'logprob': -16.507343}, {'token': 'In', 'logprob': -16.517525}, {'token': 'Option', 'logprob': -16.565403}, {'token': 'Answer', 'logprob': -16.658142}, {'token': '<｜｜end▁of▁sentence｜｜>', 'logprob': -16.703764}]","{'A': [-1.427606, -15.394853], 'B': [-0.27428952, -14.518416]}","{'A': -1.4276051407856651, 'B': -0.27428886859013873}",0
P026,30,0,0,0,A,B,0.7570674809398141,B,0,1.4149715735479893,0.5731511706965559,deepseek-v4-flash,53,1,"[{'token': 'B', 'logprob': -0.27832666}, {'token': 'A', 'logprob': -1.4149958}, {'token': 'Based', 'logprob': -11.564925}, {'token': 'The', 'logprob': -13.058591}, {'token': 'I', 'logprob': -13.470635}, {'token': 'Both', 'logprob': -13.70478}, {'token': 'Let', 'logprob': -13.802123}, {'token': 'Given', 'logprob': -14.162681}, {'token': ' B', 'logprob': -14.194173}, {'token': 'Bet', 'logprob': -14.677762}, {'token': 'After', 'logprob': -14.782218}, {'token': 'Since', 'logprob': -14.836612}, {'token': 'Option', 'logprob': -14.884988}, {'token': ' A', 'logprob': -14.924556}, {'token': 'From', 'logprob': -15.149491}, {'token': 'Neither', 'logprob': -15.220672}, {'token': 'We', 'logprob': -15.26551}, {'token': 'If', 'logprob': -15.395364}, {'token': '<｜｜end▁of▁sentence｜｜>', 'logprob': -15.448813}, {'token': 'Answer', 'logprob': -15.52938}]","{'A': [-1.4149958, -14.924556], 'B': [-0.27832666, -14.194173]}","{'A': -1.4149944420860268, 'B': -0.27832575546676824}",0
P026,32,0,0,0,B,A,0.7287331926748334,B,1,0.3164476048083236,0.07358568075638906,deepseek-v4-flash,61,1,"[{'token': 'B', 'logprob': -0.31645527}, {'token': 'A', 'logprob': -1.3046602}, {'token': 'Based', 'logprob': -13.512473}, {'token': 'The', 'logprob': -13.760047}, {'token': 'Let', 'logprob': -14.587523}, {'token': ' B', 'logprob': -14.713658}, {'token': 'Given', 'logprob': -14.757791}, {'token': 'I', 'logprob': -14.9228735}, {'token': ' A', 'logprob': -15.505536}, {'token': 'This', 'logprob': -15.548152}, {'token': 'Since', 'logprob': -15.567906}, {'token': 'Both', 'logprob': -15.651118}, {'token': 'After', 'logprob': -15.6868925}, {'token': 'AA', 'logprob': -15.810088}, {'token': 'If', 'logprob': -16.019545}, {'token': 'Option', 'logprob': -16.073874}, {'token': 'Consider', 'logprob': -16.181152}, {'token': 'Bet', 'logprob': -16.200188}, {'token': 'We', 'logprob': -16.204731}, {'token': 'Answer', 'logprob': -16.264591}]","{'A': [-1.3046602, -15.505536], 'B': [-0.31645527, -14.713658]}","{'A': -1.304659519798079, 'B': -0.31645471104843287}",0
P026,36,0,0,0,A,B,0.7736328612754124,B,0,1.4855970901641542,0.5985078040451816,deepseek-v4-flash,121,1,"[{'token': 'B', 'logprob': -0.25667408}, {'token': 'A', 'logprob': -1.4856131}, {'token': 'The', 'logprob': -12.671373}, {'token': 'Let', 'logprob': -13.162621}, {'token': 'Based', 'logprob': -13.466461}, {'token': ' B', 'logprob': -13.776634}, {'token': 'Option', 'logprob': -14.1988735}, {'token': 'Given', 'logprob': -14.461912}, {'token': 'If', 'logprob': -14.47868}, {'token': 'BA', 'logprob': -14.572977}, {'token': 'I', 'logprob': -14.673325}, {'token': 'To', 'logprob': -14.699154}, {'token': 'AA', 'logprob': -14.742765}, {'token': 'Since', 'logprob': -14.848513}, {'token': 'BB', 'logprob': -14.889256}, {'token': ' A', 'logprob': -15.177963}, {'token': 'After', 'logprob': -15.199772}, {'token': 'We', 'logprob': -15.310017}, {'token': 'Both', 'logprob': -15.39522}, {'token': 'Bet', 'logprob': -15.407801}]","{'A': [-1.4856131, -15.177963], 'B': [-0.25667408, -13.776634]}","{'A': -1.4856119689345184, 'B': -0.2566727361347642}",0
P028,21,0,0,0,B,B,0.7733927932423462,B,1,0.2569682181322288,0.05135082615450605,deepseek-v4-flash,64,1,"[{'token': 'B', 'logprob': -0.2569874}, {'token': 'A', 'logprob': -1.4845569}, {'token': 'Let', 'logprob': -12.164657}, {'token': 'Based', 'logprob': -12.525752}, {'token': 'The', 'logprob': -13.139506}, {'token': 'Option', 'logprob': -13.5288725}, {'token': ' B', 'logprob': -13.748736}, {'token': 'To', 'logprob': -14.0225935}, {'token': 'Both', 'logprob': -14.123549}, {'token': 'Given', 'logprob': -14.189776}, {'token': 'We', 'logprob': -14.562463}, {'token': ' A', 'logprob': -14.620294}, {'token': 'Since', 'logprob': -14.720162}, {'token': '<｜｜end▁of▁sentence｜｜>', 'logprob': -15.049918}, {'token': 'From', 'logprob': -15.353421}, {'token': 'I', 'logprob': -15.5148}, {'token': 'In', 'logprob': -16.312439}, {'token': 'After', 'logprob': -16.392784}, {'token': 'Sure', 'logprob': -16.42288}, {'token': 'Consider', 'logprob': -16.514996}]","{'A': [-1.4845569, -14.620294], 'B': [-0.2569874, -13.748736]}","{'A': -1.4845549265713305, 'B': -0.25698601768273727}",0
P028,25,0,0,0,B,B,0.7607839500306751,B,1,0.2734058641476754,0.05722431856292654,deepseek-v4-flash,53,1,"[{'token': 'B', 'logprob': -0.27341408}, {'token': 'A', 'logprob': -1.4303966}, {'token': 'The', 'logprob': -13.873544}, {'token': 'Let', 'logprob': -14.212764}, {'token': 'Based', 'logprob': -14.305093}, {'token': ' B', 'logprob': -14.436511}, {'token': 'I', 'logprob': -14.535073}, {'token': 'Both', 'logprob': -14.634351}, {'token': 'Option', 'logprob': -15.06943}, {'token': 'After', 'logprob': -15.155419}, {'token': ' A', 'logprob': -15.318568}, {'token': '<｜｜end▁of▁sentence｜｜>', 'logprob': -15.611163}, {'token': 'Given', 'logprob': -15.628068}, {'token': 'From', 'logprob': -15.635009}, {'token': 'Bet', 'logprob': -15.767318}, {'token': 'Answer', 'logprob': -15.874082}, {'token': 'Since', 'logprob': -15.9043665}, {'token': 'Neither', 'logprob': -16.00198}, {'token': '1', 'logprob': -16.10549}, {'token': 'Consider', 'logprob': -16.168123}]","{'A': [-1.4303966, -15.318568], 'B': [-0.27341408, -14.436511]}","{'A': -1.4303956700842673, 'B': -0.27341337360924356}",0
